City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
469,Canon City,US,38.441,-105.2424,86.16,17,0,12.66,clear sky
470,Luangwa,ZM,-15.6167,30.4167,75.56,40,0,2.15,clear sky
471,Ilhabela,BR,-23.7781,-45.3581,64.38,90,100,7.29,overcast clouds
472,Kalianget,ID,-7.05,113.9333,81.5,72,100,6.13,overcast clouds
473,Richards Bay,ZA,-28.783,32.0377,70.95,88,0,10.47,clear sky
474,Parrita,CR,9.5201,-84.3225,82.78,76,76,6.29,broken clouds
475,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,13,0,19.57,clear sky
476,Tabas,IR,33.5959,56.9244,82.67,11,0,3.98,clear sky
477,Sobolevo,RU,54.4299,31.8996,52.7,78,100,10.2,light rain
478,Chaihe,CN,44.7667,129.7,52.74,79,6,5.17,clear sky
479,Itarare,BR,-24.1125,-49.3317,59.29,80,100,11.27,overcast clouds
480,Puksoozero,RU,62.5903,40.6066,32.11,96,100,7.11,light snow
481,Poya,NC,-21.35,165.15,72.86,84,100,7.14,overcast clouds
482,Okhotsk,RU,59.3833,143.3,35.73,73,95,13.67,overcast clouds
483,Saint-Francois,FR,46.4154,3.9054,49.44,93,75,3.44,broken clouds
484,Riyadh,SA,24.6877,46.7219,84.34,13,0,10.83,clear sky
485,Naraina,IN,26.7833,75.2,81.05,55,38,8.97,scattered clouds
486,Lokomotivnyy,RU,53.0118,60.5684,33.35,99,100,10.56,light snow
487,Elektrogorsk,RU,55.8794,38.7919,47.35,94,19,4.03,few clouds
488,Turukhansk,RU,65.8167,87.9833,23.68,88,100,5.88,overcast clouds
489,Svetlaya,RU,46.5389,138.3297,52.2,81,24,7.34,few clouds
490,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,73,75,11.5,broken clouds
491,Monte Alegre De Minas,BR,-18.8706,-48.8808,84.15,41,100,9.71,overcast clouds
492,Noshiro,JP,40.2039,140.0242,59.99,91,4,5.06,clear sky
493,Gold Coast,AU,-28.0,153.4333,57.99,90,39,5.75,scattered clouds
494,Liverpool,GB,53.4106,-2.9779,56.28,83,0,6.91,clear sky
495,Namtsy,RU,62.7161,129.6658,23.07,89,87,6.96,overcast clouds
496,Zhigansk,RU,66.7697,123.3711,26.04,87,97,9.64,overcast clouds
497,Anadyr,RU,64.75,177.4833,28.9,79,0,4.47,clear sky
498,Bulalacao,PH,12.3254,121.3435,79.59,82,100,9.44,heavy intensity rain
499,Kula,TR,38.5473,28.6498,66.56,57,0,1.5,clear sky
500,Lasa,IT,46.6166,10.7002,47.7,95,100,3.42,overcast clouds
501,Emba,KZ,48.8264,58.1442,52.05,33,100,17.11,overcast clouds
502,Egvekinot,RU,66.3167,-179.1667,20.93,79,16,3.98,few clouds
503,Brigantine,US,39.4101,-74.3646,67.01,60,20,10.36,few clouds
504,Margate,GB,51.3813,1.3862,54.7,73,18,4.88,few clouds
505,Kawalu,ID,-7.3817,108.2082,71.38,96,99,1.34,overcast clouds
506,Rengali,IN,21.6333,84.05,76.78,87,95,2.68,overcast clouds
507,Dindori,IN,22.95,81.0833,70.66,79,1,2.62,clear sky
508,San Carlos De Bariloche,AR,-41.1456,-71.3082,66.43,38,100,8.28,overcast clouds
509,Uchaly,RU,54.2996,59.4521,30.72,98,100,7.54,light snow
510,Ibra,OM,22.6906,58.5334,79.03,67,1,8.81,clear sky
511,Trelew,AR,-43.249,-65.3051,79.74,23,0,25.52,clear sky
512,Bantry,IE,51.6833,-9.45,54.79,83,100,4.45,overcast clouds
513,Klaksvik,FO,62.2266,-6.589,47.32,80,100,19.71,overcast clouds
514,Caborca,MX,30.5838,-111.101,79.05,51,91,4.09,overcast clouds
515,Nome,US,64.5011,-165.4064,42.87,82,100,13.8,overcast clouds
516,Jasper,US,37.2001,-94.3502,76.1,28,0,9.22,clear sky
517,Palana,RU,59.1167,159.9667,39.85,95,100,11.61,moderate rain
518,Nazare,BR,-13.035,-39.0144,81.14,55,11,7.61,few clouds
519,Villa Maria,AR,-32.4075,-63.2402,72.82,32,100,9.13,overcast clouds
520,Makinsk,KZ,52.6292,70.4169,24.49,67,8,4.05,clear sky
521,Ouallam,NE,14.3188,2.0866,93.52,35,15,6.85,few clouds
522,Rabo De Peixe,PT,37.8,-25.5833,73.27,57,75,4.61,broken clouds
523,Gongzhuling,CN,43.5008,124.8198,63.43,67,19,13.51,few clouds
524,Dwarka,IN,22.2394,68.9678,80.44,70,85,7.58,overcast clouds
525,Prince Rupert,CA,54.3161,-130.3201,61.57,79,77,2.08,broken clouds
526,Ternate,ID,0.8,127.4,80.02,81,88,5.37,overcast clouds
527,Mayya,RU,61.7333,130.2811,27.72,92,94,3.02,overcast clouds
528,Russkiy Aktash,RU,55.0384,52.1214,43.2,94,100,9.53,overcast clouds
529,Wanning,CN,18.8003,110.3967,78.6,90,100,6.93,overcast clouds
530,Houma,US,29.5958,-90.7195,75.99,44,0,13.8,clear sky
531,Maragogi,BR,-9.0122,-35.2225,78.4,69,89,8.99,overcast clouds
532,Clarence Town,AU,-32.5833,151.7833,61.99,92,93,9.95,light rain
533,Bandarban,BD,22.1965,92.2262,76.23,99,100,1.77,overcast clouds
534,Sorland,NO,67.667,12.6934,51.66,72,100,4.83,overcast clouds
535,Bose,IT,45.4612,8.0137,58.64,79,100,4.85,overcast clouds
536,Moussoro,TD,13.6408,16.4901,88.25,44,36,7.58,scattered clouds
537,Stornoway,GB,58.2093,-6.3865,51.76,84,75,12.66,broken clouds
538,Erzincan,TR,39.75,39.5,69.1,37,0,12.66,clear sky
539,Council Bluffs,US,41.2619,-95.8608,73.49,36,20,20.71,few clouds
540,San Buenaventura,MX,27.0833,-101.5333,83.32,34,20,0.0,few clouds
541,Fonte Boa,BR,-2.4959,-66.2662,93.4,42,98,1.86,overcast clouds
542,Dzaoudzi,YT,-12.7887,45.2699,75.09,83,0,4.61,clear sky
543,Vauvert,FR,43.7,4.2833,63.99,82,100,2.3,overcast clouds
544,Ayan,RU,56.45,138.1667,36.55,58,100,9.53,overcast clouds
545,Matamoros,MX,25.5333,-103.25,78.91,37,20,6.91,few clouds
546,Mundra,IN,22.85,69.7333,80.44,70,15,10.2,few clouds
547,Nhulunbuy,AU,-12.2333,136.7667,77.61,88,86,8.05,overcast clouds
548,Saint Cloud,US,45.5608,-94.1625,67.37,45,0,13.8,clear sky
549,Yeppoon,AU,-23.1333,150.7333,51.58,57,0,5.41,clear sky
550,Beziers,FR,43.3476,3.219,60.39,82,100,4.61,overcast clouds
551,Kruisfontein,ZA,-34.0033,24.7314,61.56,87,100,11.32,overcast clouds
552,Zanjan,IR,36.6736,48.4787,69.85,17,0,3.42,clear sky
553,Banda Aceh,ID,5.5577,95.3222,77.11,89,100,15.35,moderate rain
554,Essau,GM,13.4839,-16.5347,82.56,80,100,9.69,overcast clouds
555,Grand Forks,US,47.9417,-97.4337,62.33,44,20,13.8,few clouds
556,Rimouski,CA,48.4488,-68.524,51.17,52,6,9.28,clear sky
557,Nefteyugansk,RU,61.0998,72.6035,26.89,74,17,8.34,few clouds
558,Whitianga,NZ,-36.8333,175.7,60.26,98,100,6.6,overcast clouds
559,Salcininkai,LT,54.3,25.3833,45.82,85,100,5.7,overcast clouds
560,Ciechocinek,PL,52.8791,18.7951,44.67,69,55,4.47,broken clouds
561,Sirsa,IN,29.5333,75.0167,80.6,55,0,5.5,clear sky
562,Verkhnevilyuysk,RU,63.4453,120.3167,23.97,97,88,3.96,overcast clouds
563,Magaria,NE,12.9983,8.9099,88.02,45,9,7.49,clear sky
564,Nidzica,PL,53.3605,20.4275,38.79,78,99,5.64,overcast clouds
